timestamp,pid,mb,availableMb
2026-08-09T12:15:45,24324,140,4664
2026-08-09T12:15:45,25616,2368,4664
2026-08-09T12:15:45,26504,2346,4664
2026-08-09T12:15:45,39536,140,4664
2026-08-09T12:15:45,42336,2464,4664
2026-08-09T12:15:45,42344,2391,4664
2026-08-09T12:15:45,44364,142,4664
2026-08-09T12:15:45,45328,2331,4664
2026-08-09T12:15:45,45668,139,4664
2026-08-09T12:15:45,47072,2844,4664
2026-08-09T12:15:45,47540,140,4664
2026-08-09T12:15:45,48136,141,4664
2026-08-09T12:16:15,24324,139,4870
2026-08-09T12:16:15,25616,2378,4870
2026-08-09T12:16:15,26504,2336,4870
2026-08-09T12:16:15,39536,140,4870
2026-08-09T12:16:15,42336,2469,4870
2026-08-09T12:16:15,42344,2397,4870
2026-08-09T12:16:15,44364,142,4870
2026-08-09T12:16:15,45328,2334,4870
2026-08-09T12:16:15,45668,139,4870
2026-08-09T12:16:15,47072,2852,4870
2026-08-09T12:16:15,47540,140,4870
2026-08-09T12:16:15,48136,141,4870
2026-08-09T12:16:46,24324,140,4882
2026-08-09T12:16:46,25616,2380,4882
2026-08-09T12:16:46,26504,2341,4882
2026-08-09T12:16:46,39536,140,4882
2026-08-09T12:16:46,42336,2474,4882
2026-08-09T12:16:46,42344,2397,4882
2026-08-09T12:16:46,44364,142,4882
2026-08-09T12:16:46,45328,2337,4882
2026-08-09T12:16:46,45668,138,4882
2026-08-09T12:16:46,47072,2860,4882
2026-08-09T12:16:46,47540,140,4882
2026-08-09T12:16:46,48136,141,4882
2026-08-09T12:17:16,24324,140,4886
2026-08-09T12:17:16,25616,2382,4886
2026-08-09T12:17:16,26504,2346,4886
2026-08-09T12:17:16,39536,140,4886
2026-08-09T12:17:16,42336,2461,4886
2026-08-09T12:17:16,42344,2389,4886
2026-08-09T12:17:16,44364,142,4886
2026-08-09T12:17:16,45328,2327,4886
2026-08-09T12:17:16,45668,138,4886
2026-08-09T12:17:16,47072,2863,4886
2026-08-09T12:17:16,47540,140,4886
2026-08-09T12:17:16,48136,141,4886
2026-08-09T12:17:46,24324,140,4698
2026-08-09T12:17:46,25616,2379,4698
2026-08-09T12:17:46,26504,2345,4698
2026-08-09T12:17:46,37692,139,4698
2026-08-09T12:17:46,39536,140,4698
2026-08-09T12:17:46,42336,2475,4698
2026-08-09T12:17:46,42344,2394,4698
2026-08-09T12:17:46,44364,142,4698
2026-08-09T12:17:46,45328,2332,4698
2026-08-09T12:17:46,47072,2868,4698
2026-08-09T12:17:46,47540,140,4698
2026-08-09T12:17:46,48136,141,4698
2026-08-09T12:18:16,24324,140,4586
2026-08-09T12:18:16,25616,2380,4586
2026-08-09T12:18:16,26504,2399,4586
2026-08-09T12:18:16,37692,141,4586
2026-08-09T12:18:16,39536,140,4586
2026-08-09T12:18:16,42336,2471,4586
2026-08-09T12:18:16,42344,2395,4586
2026-08-09T12:18:16,44364,142,4586
2026-08-09T12:18:16,45328,2332,4586
2026-08-09T12:18:16,47072,2876,4586
2026-08-09T12:18:16,47540,140,4586
2026-08-09T12:18:16,48136,141,4586
2026-08-09T12:18:46,24324,140,4512
2026-08-09T12:18:46,25616,2363,4512
2026-08-09T12:18:46,26504,2387,4512
2026-08-09T12:18:46,37692,141,4512
2026-08-09T12:18:46,39536,140,4512
2026-08-09T12:18:46,42336,2468,4512
2026-08-09T12:18:46,42344,2396,4512
2026-08-09T12:18:46,44364,142,4512
2026-08-09T12:18:46,45328,2374,4512
2026-08-09T12:18:46,47072,2900,4512
2026-08-09T12:18:46,47540,140,4512
2026-08-09T12:18:46,48136,141,4512
2026-08-09T12:19:17,24324,140,4618
2026-08-09T12:19:17,25616,2373,4618
2026-08-09T12:19:17,26504,2387,4618
2026-08-09T12:19:17,37692,141,4618
2026-08-09T12:19:17,39536,140,4618
2026-08-09T12:19:17,42336,2465,4618
2026-08-09T12:19:17,42344,2407,4618
2026-08-09T12:19:17,44364,142,4618
2026-08-09T12:19:17,45328,2354,4618
2026-08-09T12:19:17,47072,2891,4618
2026-08-09T12:19:17,47540,140,4618
2026-08-09T12:19:17,48136,141,4618
2026-08-09T12:19:47,24324,140,4541
2026-08-09T12:19:47,25616,2400,4541
2026-08-09T12:19:47,26504,2376,4541
2026-08-09T12:19:47,37692,140,4541
2026-08-09T12:19:47,39536,140,4541
2026-08-09T12:19:47,42336,2476,4541
2026-08-09T12:19:47,42344,2413,4541
2026-08-09T12:19:47,44364,142,4541
2026-08-09T12:19:47,45328,2370,4541
2026-08-09T12:19:47,47072,2895,4541
2026-08-09T12:19:47,47540,140,4541
2026-08-09T12:19:47,48136,141,4541
2026-08-09T12:20:17,24324,140,4481
2026-08-09T12:20:17,25616,2405,4481
2026-08-09T12:20:17,26504,2379,4481
2026-08-09T12:20:17,37692,141,4481
2026-08-09T12:20:17,39536,140,4481
2026-08-09T12:20:17,42336,2495,4481
2026-08-09T12:20:17,42344,2416,4481
2026-08-09T12:20:17,44364,142,4481
2026-08-09T12:20:17,45328,2370,4481
2026-08-09T12:20:17,47072,2896,4481
2026-08-09T12:20:17,47540,140,4481
2026-08-09T12:20:17,48136,141,4481
2026-08-09T12:20:47,24324,140,4521
2026-08-09T12:20:47,25616,2405,4521
2026-08-09T12:20:47,26504,2380,4521
2026-08-09T12:20:47,37692,141,4521
2026-08-09T12:20:47,39536,140,4521
2026-08-09T12:20:47,42336,2508,4521
2026-08-09T12:20:47,42344,2415,4521
2026-08-09T12:20:47,44364,142,4521
2026-08-09T12:20:47,45328,2379,4521
2026-08-09T12:20:47,47072,2897,4521
2026-08-09T12:20:47,47540,140,4521
2026-08-09T12:20:47,48136,141,4521
2026-08-09T12:21:17,24324,140,4624
2026-08-09T12:21:17,25616,2406,4624
2026-08-09T12:21:17,26504,2384,4624
2026-08-09T12:21:17,37692,141,4624
2026-08-09T12:21:17,39536,140,4624
2026-08-09T12:21:17,42336,2493,4624
2026-08-09T12:21:17,42344,2413,4624
2026-08-09T12:21:17,44364,142,4624
2026-08-09T12:21:17,45328,2369,4624
2026-08-09T12:21:17,47072,2894,4624
2026-08-09T12:21:17,47540,140,4624
2026-08-09T12:21:17,48136,143,4624
2026-08-09T12:21:48,24324,140,4657
2026-08-09T12:21:48,25616,2390,4657
2026-08-09T12:21:48,26504,2372,4657
2026-08-09T12:21:48,37692,141,4657
2026-08-09T12:21:48,39536,140,4657
2026-08-09T12:21:48,42336,2506,4657
2026-08-09T12:21:48,42344,2410,4657
2026-08-09T12:21:48,44364,142,4657
2026-08-09T12:21:48,45328,2365,4657
2026-08-09T12:21:48,47072,2882,4657
2026-08-09T12:21:48,47540,140,4657
2026-08-09T12:21:48,48136,141,4657
2026-08-09T12:22:18,24324,140,4726
2026-08-09T12:22:18,25616,2398,4726
2026-08-09T12:22:18,26504,2385,4726
2026-08-09T12:22:18,37692,141,4726
2026-08-09T12:22:18,39536,140,4726
2026-08-09T12:22:18,42336,2508,4726
2026-08-09T12:22:18,42344,2415,4726
2026-08-09T12:22:18,44364,142,4726
2026-08-09T12:22:18,45328,2364,4726
2026-08-09T12:22:18,47072,2886,4726
2026-08-09T12:22:18,47540,140,4726
2026-08-09T12:22:18,48136,141,4726
2026-08-09T12:22:48,24324,140,4691
2026-08-09T12:22:48,25616,2403,4691
2026-08-09T12:22:48,26504,2386,4691
2026-08-09T12:22:48,37692,141,4691
2026-08-09T12:22:48,39536,140,4691
2026-08-09T12:22:48,42336,2511,4691
2026-08-09T12:22:48,42344,2414,4691
2026-08-09T12:22:48,44364,142,4691
2026-08-09T12:22:48,45328,2368,4691
2026-08-09T12:22:48,47072,2892,4691
2026-08-09T12:22:48,47540,140,4691
2026-08-09T12:22:48,48136,141,4691
2026-08-09T12:23:18,24324,140,4714
2026-08-09T12:23:18,25616,2402,4714
2026-08-09T12:23:18,26504,2382,4714
2026-08-09T12:23:18,37692,141,4714
2026-08-09T12:23:18,39536,140,4714
2026-08-09T12:23:18,42336,2498,4714
2026-08-09T12:23:18,42344,2413,4714
2026-08-09T12:23:18,44364,142,4714
2026-08-09T12:23:18,45328,2366,4714
2026-08-09T12:23:18,47072,2895,4714
2026-08-09T12:23:18,47540,140,4714
2026-08-09T12:23:18,48136,141,4714
2026-08-09T12:23:48,24324,140,4640
2026-08-09T12:23:48,25616,2401,4640
2026-08-09T12:23:48,26504,2386,4640
2026-08-09T12:23:48,37692,142,4640
2026-08-09T12:23:48,39536,140,4640
2026-08-09T12:23:48,42336,2504,4640
2026-08-09T12:23:48,42344,2420,4640
2026-08-09T12:23:48,44364,142,4640
2026-08-09T12:23:48,45328,2373,4640
2026-08-09T12:23:48,47072,2900,4640
2026-08-09T12:23:48,47540,140,4640
2026-08-09T12:23:48,48136,141,4640
2026-08-09T12:24:19,24324,140,4551
2026-08-09T12:24:19,25616,2399,4551
2026-08-09T12:24:19,26504,2380,4551
2026-08-09T12:24:19,37692,141,4551
2026-08-09T12:24:19,39536,140,4551
2026-08-09T12:24:19,42336,2511,4551
2026-08-09T12:24:19,42344,2419,4551
2026-08-09T12:24:19,44364,142,4551
2026-08-09T12:24:19,45328,2371,4551
2026-08-09T12:24:19,47072,2902,4551
2026-08-09T12:24:19,47540,140,4551
2026-08-09T12:24:19,48136,141,4551
2026-08-09T12:24:49,24324,140,4590
2026-08-09T12:24:49,25616,2400,4590
2026-08-09T12:24:49,26504,2383,4590
2026-08-09T12:24:49,37692,141,4590
2026-08-09T12:24:49,39536,141,4590
2026-08-09T12:24:49,42336,2514,4590
2026-08-09T12:24:49,42344,2406,4590
2026-08-09T12:24:49,44364,142,4590
2026-08-09T12:24:49,45328,2373,4590
2026-08-09T12:24:49,47072,2904,4590
2026-08-09T12:24:49,47540,140,4590
2026-08-09T12:24:49,48136,141,4590
2026-08-09T12:25:19,24324,140,4642
2026-08-09T12:25:19,25616,2400,4642
2026-08-09T12:25:19,26504,2387,4642
2026-08-09T12:25:19,37692,142,4642
2026-08-09T12:25:19,39536,141,4642
2026-08-09T12:25:19,42336,2512,4642
2026-08-09T12:25:19,42344,2407,4642
2026-08-09T12:25:19,44364,142,4642
2026-08-09T12:25:19,45328,2357,4642
2026-08-09T12:25:19,47072,2890,4642
2026-08-09T12:25:19,47540,140,4642
2026-08-09T12:25:19,48136,141,4642
2026-08-09T12:25:49,24324,140,4623
2026-08-09T12:25:49,25616,2399,4623
2026-08-09T12:25:49,26504,2381,4623
2026-08-09T12:25:49,37692,142,4623
2026-08-09T12:25:49,39536,141,4623
2026-08-09T12:25:49,42336,2519,4623
2026-08-09T12:25:49,42344,2417,4623
2026-08-09T12:25:49,44364,142,4623
2026-08-09T12:25:49,45328,2370,4623
2026-08-09T12:25:49,47072,2887,4623
2026-08-09T12:25:49,47540,140,4623
2026-08-09T12:25:49,48136,141,4623
2026-08-09T12:26:19,24324,140,4781
2026-08-09T12:26:19,25616,2401,4781
2026-08-09T12:26:19,26504,2387,4781
2026-08-09T12:26:19,37692,142,4781
2026-08-09T12:26:19,39536,141,4781
2026-08-09T12:26:19,42336,2526,4781
2026-08-09T12:26:19,42344,2419,4781
2026-08-09T12:26:19,44364,142,4781
2026-08-09T12:26:19,45328,2372,4781
2026-08-09T12:26:19,47072,2897,4781
2026-08-09T12:26:19,47540,140,4781
2026-08-09T12:26:19,48136,141,4781
2026-08-09T12:26:49,24324,140,4730
2026-08-09T12:26:49,25616,2412,4730
2026-08-09T12:26:49,26504,2392,4730
2026-08-09T12:26:49,37692,142,4730
2026-08-09T12:26:49,39536,141,4730
2026-08-09T12:26:49,42336,2529,4730
2026-08-09T12:26:49,42344,2420,4730
2026-08-09T12:26:49,44364,142,4730
2026-08-09T12:26:49,45328,2379,4730
2026-08-09T12:26:49,47072,2887,4730
2026-08-09T12:26:49,47540,140,4730
2026-08-09T12:26:49,48136,141,4730
2026-08-09T12:27:20,24324,140,4752
2026-08-09T12:27:20,25616,2409,4752
2026-08-09T12:27:20,26504,2389,4752
2026-08-09T12:27:20,37692,142,4752
2026-08-09T12:27:20,39536,141,4752
2026-08-09T12:27:20,42336,2507,4752
2026-08-09T12:27:20,42344,2417,4752
2026-08-09T12:27:20,44364,142,4752
2026-08-09T12:27:20,45328,2375,4752
2026-08-09T12:27:20,47072,2892,4752
2026-08-09T12:27:20,47540,140,4752
2026-08-09T12:27:20,48136,141,4752
2026-08-09T12:27:50,24324,140,4726
2026-08-09T12:27:50,25616,2404,4726
2026-08-09T12:27:50,26504,2390,4726
2026-08-09T12:27:50,37692,142,4726
2026-08-09T12:27:50,39536,141,4726
2026-08-09T12:27:50,42336,2518,4726
2026-08-09T12:27:50,42344,2425,4726
2026-08-09T12:27:50,44364,142,4726
2026-08-09T12:27:50,45328,2379,4726
2026-08-09T12:27:50,47072,2900,4726
2026-08-09T12:27:50,47540,140,4726
2026-08-09T12:27:50,48136,141,4726
2026-08-09T12:28:20,24324,140,4665
2026-08-09T12:28:20,25616,2406,4665
2026-08-09T12:28:20,26504,2393,4665
2026-08-09T12:28:20,37692,142,4665
2026-08-09T12:28:20,39536,141,4665
2026-08-09T12:28:20,42336,2512,4665
2026-08-09T12:28:20,42344,2425,4665
2026-08-09T12:28:20,44364,142,4665
2026-08-09T12:28:20,45328,2372,4665
2026-08-09T12:28:20,47072,2919,4665
2026-08-09T12:28:20,47540,140,4665
2026-08-09T12:28:20,48136,143,4665
2026-08-09T12:28:50,24324,140,2263
2026-08-09T12:28:50,25616,2396,2263
2026-08-09T12:28:50,26504,2376,2263
2026-08-09T12:28:50,37692,141,2263
2026-08-09T12:28:50,39536,141,2263
2026-08-09T12:28:50,42336,2499,2263
2026-08-09T12:28:50,42344,2401,2263
2026-08-09T12:28:50,44364,142,2263
2026-08-09T12:28:50,45328,2360,2263
2026-08-09T12:28:50,47072,2889,2263
2026-08-09T12:28:50,47540,140,2263
2026-08-09T12:28:50,48136,141,2263
2026-08-09T12:29:21,24324,140,2865
2026-08-09T12:29:21,25616,2400,2865
2026-08-09T12:29:21,26504,2376,2865
2026-08-09T12:29:21,37692,141,2865
2026-08-09T12:29:21,39536,141,2865
2026-08-09T12:29:21,42336,2497,2865
2026-08-09T12:29:21,42344,2411,2865
2026-08-09T12:29:21,44364,142,2865
2026-08-09T12:29:21,45328,2365,2865
2026-08-09T12:29:21,47072,2889,2865
2026-08-09T12:29:21,47540,140,2865
2026-08-09T12:29:21,48136,141,2865
2026-08-09T12:29:51,24324,140,2927
2026-08-09T12:29:51,25616,2406,2927
2026-08-09T12:29:51,26504,2365,2927
2026-08-09T12:29:51,37692,141,2927
2026-08-09T12:29:51,39536,141,2927
2026-08-09T12:29:51,42336,2498,2927
2026-08-09T12:29:51,42344,2409,2927
2026-08-09T12:29:51,44364,142,2927
2026-08-09T12:29:51,45328,2363,2927
2026-08-09T12:29:51,47072,2889,2927
2026-08-09T12:29:51,47540,140,2927
2026-08-09T12:29:51,48136,141,2927
2026-08-09T12:30:21,24324,140,2691
2026-08-09T12:30:21,25616,2400,2691
2026-08-09T12:30:21,26504,2370,2691
2026-08-09T12:30:21,37692,141,2691
2026-08-09T12:30:21,39536,142,2691
2026-08-09T12:30:21,42336,2502,2691
2026-08-09T12:30:21,42344,2410,2691
2026-08-09T12:30:21,44364,142,2691
2026-08-09T12:30:21,45328,2360,2691
2026-08-09T12:30:21,47072,2892,2691
2026-08-09T12:30:21,47540,140,2691
2026-08-09T12:30:21,48136,141,2691
2026-08-09T12:30:51,24324,140,2766
2026-08-09T12:30:51,25616,2400,2766
2026-08-09T12:30:51,26504,2372,2766
2026-08-09T12:30:51,37692,141,2766
2026-08-09T12:30:51,39536,141,2766
2026-08-09T12:30:51,42336,2501,2766
2026-08-09T12:30:51,42344,2407,2766
2026-08-09T12:30:51,44364,142,2766
2026-08-09T12:30:51,45328,2355,2766
2026-08-09T12:30:51,47072,2891,2766
2026-08-09T12:30:51,47540,140,2766
2026-08-09T12:30:51,48136,141,2766
2026-08-09T12:31:21,24324,140,2979
2026-08-09T12:31:21,25616,2404,2979
2026-08-09T12:31:21,26504,2372,2979
2026-08-09T12:31:21,37692,141,2979
2026-08-09T12:31:21,39536,141,2979
2026-08-09T12:31:21,42336,2499,2979
2026-08-09T12:31:21,42344,2403,2979
2026-08-09T12:31:21,44364,142,2979
2026-08-09T12:31:21,45328,2356,2979
2026-08-09T12:31:21,47072,2894,2979
2026-08-09T12:31:21,47540,140,2979
2026-08-09T12:31:21,48136,141,2979
2026-08-09T12:31:52,24324,140,3060
2026-08-09T12:31:52,25616,2401,3060
2026-08-09T12:31:52,26504,2376,3060
2026-08-09T12:31:52,37692,141,3060
2026-08-09T12:31:52,39536,141,3060
2026-08-09T12:31:52,42336,2497,3060
2026-08-09T12:31:52,42344,2404,3060
2026-08-09T12:31:52,44364,142,3060
2026-08-09T12:31:52,45328,2355,3060
2026-08-09T12:31:52,47072,2899,3060
2026-08-09T12:31:52,47540,140,3060
2026-08-09T12:31:52,48136,141,3060
2026-08-09T12:32:22,24324,140,2907
2026-08-09T12:32:22,25616,2405,2907
2026-08-09T12:32:22,26504,2369,2907
2026-08-09T12:32:22,37692,141,2907
2026-08-09T12:32:22,39536,141,2907
2026-08-09T12:32:22,42336,2500,2907
2026-08-09T12:32:22,42344,2404,2907
2026-08-09T12:32:22,44364,142,2907
2026-08-09T12:32:22,45328,2355,2907
2026-08-09T12:32:22,47072,2900,2907
2026-08-09T12:32:22,47540,140,2907
2026-08-09T12:32:22,48136,141,2907
2026-08-09T12:32:52,24324,140,2908
2026-08-09T12:32:52,25616,2408,2908
2026-08-09T12:32:52,26504,2371,2908
2026-08-09T12:32:52,37692,141,2908
2026-08-09T12:32:52,39536,141,2908
2026-08-09T12:32:52,42336,2498,2908
2026-08-09T12:32:52,42344,2400,2908
2026-08-09T12:32:52,44364,142,2908
2026-08-09T12:32:52,45328,2357,2908
2026-08-09T12:32:52,47072,2902,2908
2026-08-09T12:32:52,47540,140,2908
2026-08-09T12:32:52,48136,141,2908
2026-08-09T12:33:22,24324,140,2786
2026-08-09T12:33:22,25616,2396,2786
2026-08-09T12:33:22,26504,2371,2786
2026-08-09T12:33:22,37692,141,2786
2026-08-09T12:33:22,39536,141,2786
2026-08-09T12:33:22,42336,2501,2786
2026-08-09T12:33:22,42344,2404,2786
2026-08-09T12:33:22,44364,142,2786
2026-08-09T12:33:22,45328,2357,2786
2026-08-09T12:33:22,47072,2910,2786
2026-08-09T12:33:22,47540,140,2786
2026-08-09T12:33:22,48136,141,2786
2026-08-09T12:33:52,24324,140,2767
2026-08-09T12:33:52,25616,2397,2767
2026-08-09T12:33:52,26504,2376,2767
2026-08-09T12:33:52,37692,141,2767
2026-08-09T12:33:52,39536,141,2767
2026-08-09T12:33:52,42336,2502,2767
2026-08-09T12:33:52,42344,2405,2767
2026-08-09T12:33:52,44364,142,2767
2026-08-09T12:33:52,45328,2356,2767
2026-08-09T12:33:52,47072,2918,2767
2026-08-09T12:33:52,47540,140,2767
2026-08-09T12:33:52,48136,141,2767
2026-08-09T12:34:23,24324,140,3002
2026-08-09T12:34:23,25616,2399,3002
2026-08-09T12:34:23,26504,2378,3002
2026-08-09T12:34:23,37692,141,3002
2026-08-09T12:34:23,39536,141,3002
2026-08-09T12:34:23,42336,2506,3002
2026-08-09T12:34:23,42344,2402,3002
2026-08-09T12:34:23,44364,142,3002
2026-08-09T12:34:23,45328,2355,3002
2026-08-09T12:34:23,47072,2922,3002
2026-08-09T12:34:23,47540,140,3002
2026-08-09T12:34:23,48136,141,3002
2026-08-09T12:34:53,24324,140,2841
2026-08-09T12:34:53,25616,2401,2841
2026-08-09T12:34:53,26504,2374,2841
2026-08-09T12:34:53,37692,141,2841
2026-08-09T12:34:53,39536,141,2841
2026-08-09T12:34:53,42336,2498,2841
2026-08-09T12:34:53,42344,2401,2841
2026-08-09T12:34:53,44364,142,2841
2026-08-09T12:34:53,45328,2360,2841
2026-08-09T12:34:53,47072,2917,2841
2026-08-09T12:34:53,47540,140,2841
2026-08-09T12:34:53,48136,141,2841
2026-08-09T12:35:23,24324,140,3048
2026-08-09T12:35:23,25616,2399,3048
2026-08-09T12:35:23,26504,2375,3048
2026-08-09T12:35:23,37692,141,3048
2026-08-09T12:35:23,39536,141,3048
2026-08-09T12:35:23,42336,2500,3048
2026-08-09T12:35:23,42344,2406,3048
2026-08-09T12:35:23,44364,142,3048
2026-08-09T12:35:23,45328,2358,3048
2026-08-09T12:35:23,47072,2922,3048
2026-08-09T12:35:23,47540,140,3048
2026-08-09T12:35:23,48136,141,3048
2026-08-09T12:35:53,24324,140,2858
2026-08-09T12:35:53,25616,2401,2858
2026-08-09T12:35:53,26504,2378,2858
2026-08-09T12:35:53,37692,141,2858
2026-08-09T12:35:53,39536,141,2858
2026-08-09T12:35:53,42336,2500,2858
2026-08-09T12:35:53,42344,2405,2858
2026-08-09T12:35:53,44364,142,2858
2026-08-09T12:35:53,45328,2360,2858
2026-08-09T12:35:53,47072,2919,2858
2026-08-09T12:35:53,47540,140,2858
2026-08-09T12:35:53,48136,141,2858
2026-08-09T12:36:23,24324,140,3291
2026-08-09T12:36:23,25616,2399,3291
2026-08-09T12:36:23,26504,2380,3291
2026-08-09T12:36:23,37692,143,3291
2026-08-09T12:36:23,39536,141,3291
2026-08-09T12:36:23,42336,2500,3291
2026-08-09T12:36:23,42344,2404,3291
2026-08-09T12:36:23,44364,142,3291
2026-08-09T12:36:23,45328,2360,3291
2026-08-09T12:36:23,47072,2921,3291
2026-08-09T12:36:23,47540,140,3291
2026-08-09T12:36:23,48136,141,3291
2026-08-09T12:36:54,24324,141,3127
2026-08-09T12:36:54,25616,2401,3127
2026-08-09T12:36:54,26504,2379,3127
2026-08-09T12:36:54,37692,141,3127
2026-08-09T12:36:54,39536,141,3127
2026-08-09T12:36:54,42336,2500,3127
2026-08-09T12:36:54,42344,2403,3127
2026-08-09T12:36:54,44364,142,3127
2026-08-09T12:36:54,45328,2357,3127
2026-08-09T12:36:54,47072,2923,3127
2026-08-09T12:36:54,47540,140,3127
2026-08-09T12:36:54,48136,141,3127
2026-08-09T12:37:24,24324,141,3287
2026-08-09T12:37:24,25616,2398,3287
2026-08-09T12:37:24,26504,2384,3287
2026-08-09T12:37:24,37692,141,3287
2026-08-09T12:37:24,39536,141,3287
2026-08-09T12:37:24,42336,2501,3287
2026-08-09T12:37:24,42344,2406,3287
2026-08-09T12:37:24,44364,142,3287
2026-08-09T12:37:24,45328,2359,3287
2026-08-09T12:37:24,47072,2925,3287
2026-08-09T12:37:24,47540,140,3287
2026-08-09T12:37:24,48136,141,3287
2026-08-09T12:37:54,24324,140,3155
2026-08-09T12:37:54,25616,2397,3155
2026-08-09T12:37:54,26504,2383,3155
2026-08-09T12:37:54,37692,141,3155
2026-08-09T12:37:54,39536,141,3155
2026-08-09T12:37:54,42336,2500,3155
2026-08-09T12:37:54,42344,2404,3155
2026-08-09T12:37:54,44364,142,3155
2026-08-09T12:37:54,45328,2360,3155
2026-08-09T12:37:54,47072,2921,3155
2026-08-09T12:37:54,47540,140,3155
2026-08-09T12:37:54,48136,141,3155
2026-08-09T12:38:24,24324,141,3171
2026-08-09T12:38:24,25616,2398,3171
2026-08-09T12:38:24,26504,2383,3171
2026-08-09T12:38:24,37692,141,3171
2026-08-09T12:38:24,39536,141,3171
2026-08-09T12:38:24,42336,2498,3171
2026-08-09T12:38:24,42344,2404,3171
