timestamp,pid,mb,availableMb
2026-08-09T11:12:12,27296,146,9453
2026-08-09T11:12:42,27296,146,9366
2026-08-09T11:13:12,27296,146,9380
2026-08-09T11:13:42,27296,146,8722
2026-08-09T11:14:12,27296,146,8843
2026-08-09T11:14:43,27296,146,7320
2026-08-09T11:15:13,27296,146,7449
2026-08-09T11:15:43,27296,146,7548
2026-08-09T11:16:13,27296,146,7801
2026-08-09T11:16:43,27296,146,7765
2026-08-09T11:17:13,27296,146,7797
2026-08-09T11:17:43,27296,146,7821
2026-08-09T11:18:14,27296,146,7856
2026-08-09T11:18:44,27296,146,7736
2026-08-09T11:19:14,27296,146,7659
2026-08-09T11:19:44,27296,146,7961
2026-08-09T11:20:14,27296,146,7964
2026-08-09T11:20:44,27296,146,7384
2026-08-09T11:21:14,44364,138,7107
2026-08-09T11:21:44,44364,139,7024
2026-08-09T11:22:15,44364,140,6901
2026-08-09T11:22:45,44364,140,7063
2026-08-09T11:23:15,44364,139,7117
2026-08-09T11:23:45,44364,139,7118
2026-08-09T11:24:15,44364,139,7116
2026-08-09T11:24:45,44364,139,7233
2026-08-09T11:25:15,44364,139,7229
2026-08-09T11:25:46,44364,139,7260
2026-08-09T11:26:16,44364,140,8792
2026-08-09T11:26:46,44364,141,8934
2026-08-09T11:27:16,44364,141,8819
2026-08-09T11:27:46,44364,141,8807
2026-08-09T11:28:16,44364,141,8856
2026-08-09T11:28:46,44364,140,8846
2026-08-09T11:29:17,40872,985,2916
2026-08-09T11:29:17,42344,977,2916
2026-08-09T11:29:17,44364,141,2916
2026-08-09T11:29:17,45328,1947,2916
2026-08-09T11:29:17,45840,985,2916
2026-08-09T11:29:17,47072,1945,2916
2026-08-09T11:29:17,47468,27,2916
2026-08-09T11:29:47,25616,1904,779
2026-08-09T11:29:47,26504,2154,779
2026-08-09T11:29:47,40872,987,779
2026-08-09T11:29:47,42344,2332,779
2026-08-09T11:29:47,44364,141,779
2026-08-09T11:29:47,45328,2278,779
2026-08-09T11:29:47,45840,992,779
2026-08-09T11:29:47,47072,2464,779
2026-08-09T11:29:47,47468,980,779
2026-08-09T11:30:17,25616,2310,545
2026-08-09T11:30:17,26504,2266,545
2026-08-09T11:30:17,40872,981,545
2026-08-09T11:30:17,42344,2344,545
2026-08-09T11:30:17,44364,141,545
2026-08-09T11:30:17,45328,2238,545
2026-08-09T11:30:17,45840,986,545
2026-08-09T11:30:17,47072,2439,545
2026-08-09T11:30:17,47468,977,545
2026-08-09T11:30:47,25616,2357,1541
2026-08-09T11:30:47,26504,2284,1541
2026-08-09T11:30:47,40872,986,1541
2026-08-09T11:30:47,42344,2361,1541
2026-08-09T11:30:47,44364,142,1541
2026-08-09T11:30:47,45328,2251,1541
2026-08-09T11:30:47,47072,2471,1541
2026-08-09T11:30:47,47468,1091,1541
2026-08-09T11:30:47,47540,135,1541
2026-08-09T11:31:18,25616,2351,78
2026-08-09T11:31:18,26504,2266,78
2026-08-09T11:31:18,37208,1396,78
2026-08-09T11:31:18,39536,136,78
2026-08-09T11:31:18,42336,2141,78
2026-08-09T11:31:18,42344,2331,78
2026-08-09T11:31:18,44364,141,78
2026-08-09T11:31:18,45328,2241,78
2026-08-09T11:31:18,45924,988,78
2026-08-09T11:31:18,47072,2438,78
2026-08-09T11:31:18,47540,138,78
2026-08-09T11:31:18,48136,137,78
2026-08-09T11:31:48,25616,2298,545
2026-08-09T11:31:48,26504,2287,545
2026-08-09T11:31:48,37208,2409,545
2026-08-09T11:31:48,39536,138,545
2026-08-09T11:31:48,42336,2308,545
2026-08-09T11:31:48,42344,2326,545
2026-08-09T11:31:48,44364,141,545
2026-08-09T11:31:48,45328,2241,545
2026-08-09T11:31:48,45924,2418,545
2026-08-09T11:31:48,47072,2512,545
2026-08-09T11:31:48,47540,139,545
2026-08-09T11:31:48,48136,139,545
2026-08-09T11:32:18,25616,2310,434
